ts_code,symbol,exchange,pre_close,event_close,event_high,event_low,price_change_pct,vol_change_pct,earliest_date,name
603227.SH,603227,SH,6.71,6.76,6.78,6.66,0.7451564828613982,-38.363514051409034,20170103,雪峰科技
600048.SH,600048,SH,10.44,10.44,10.7,10.38,0.0,-35.58461185137208,20170103,保利发展
603233.SH,603233,SH,52.96,51.69,55.4,51.58,-2.3980362537764406,-25.57345469004063,20170731,大参林
603569.SH,603569,SH,30.29,30.27,30.88,29.97,-0.06602839220864831,-29.5887842016,20170103,长久物流
600060.SH,600060,SH,14.94,14.98,15.2,14.44,0.2677376171352137,29.849654461953882,20170103,海信视像
600706.SH,600706,SH,19.85,19.78,20.09,19.73,-0.35264483627204174,8.916877201792376,20170103,曲江文旅
603958.SH,603958,SH,17.59,17.79,17.9,17.41,1.137009664582145,-41.03499118269646,20170103,哈森股份
601801.SH,601801,SH,11.98,12.25,12.64,11.97,2.253756260434053,98.16826759842321,20170103,皖新传媒
600538.SH,600538,SH,5.76,5.87,5.89,5.74,1.9097222222222279,-6.561943525309695,20170103,国发股份
603757.SH,603757,SH,69.55,70.53,71.88,67.51,1.4090582314881437,-35.91460945323061,20170711,大元泵业
600510.SH,600510,SH,7.29,7.36,7.4,7.26,0.9602194787380012,-27.038681435426533,20170103,黑牡丹
601020.SH,601020,SH,21.96,21.85,22.47,21.71,-0.5009107468123836,-20.73971303971732,20170103,华钰矿业
600302.SH,600302,SH,7.82,8.17,8.22,7.81,4.47570332480818,18.69249309347251,20170103,标准股份
600316.SH,600316,SH,15.64,15.57,15.95,15.5,-0.44757033248082023,-8.956191881176476,20170103,洪都航空
601008.SH,601008,SH,5.94,5.95,5.97,5.87,0.16835016835016475,-33.58136237055634,20170103,连云港
600699.SH,600699,SH,40.63,41.79,42.06,39.3,2.8550332266797844,-7.678859113725734,20170103,均胜电子
600855.SH,600855,SH,17.26,17.33,17.57,17.11,0.40556199304748974,-12.212217169347552,20170428,航天长峰
600869.SH,600869,SH,6.85,6.8,6.85,6.69,-0.7299270072992675,9.423540811210952,20170103,远东股份
600128.SH,600128,SH,10.6,10.87,10.96,10.6,2.547169811320751,-3.856221687821352,20170103,苏豪弘业
603421.SH,603421,SH,29.92,30.92,31.1,29.45,3.3422459893048124,26.3284031898596,20170103,鼎信通讯
600100.SH,600100,SH,11.25,11.14,11.38,11.11,-0.9777777777777727,-21.469531357355656,20170103,同方股份
600114.SH,600114,SH,17.75,17.57,17.82,17.3,-1.014084507042252,-22.977628381429568,20170103,东睦股份
600115.SH,600115,SH,6.77,6.73,6.82,6.67,-0.5908419497784217,-48.952474645008046,20170103,中国东航
600667.SH,600667,SH,8.34,8.05,8.4,7.89,-3.4772182254196546,19.467527200792098,20170103,太极实业
600101.SH,600101,SH,9.76,9.97,10.16,9.69,2.151639344262304,42.618151117779654,20170103,明星电力
600129.SH,600129,SH,17.34,17.07,17.5,16.75,-1.5570934256055338,-9.690408359315397,20170103,太极集团
600868.SH,600868,SH,4.63,4.59,4.66,4.58,-0.8639308855291584,-33.09583999935615,20170103,梅雁吉祥
600698.SH,600698,SH,7.87,8.04,8.3,7.83,2.160101651842427,11.950995574447209,20170103,湖南天雁
601009.SH,601009,SH,7.77,7.77,7.84,7.73,0.0,-29.678714292830406,20170103,南京银行
600303.SH,600303,SH,9.65,10.04,10.37,9.71,4.041450777202059,29.702793780450904,20170117,曙光股份
601021.SH,601021,SH,36.25,38.49,38.5,35.32,6.1793103448275915,15.468744268251575,20170103,春秋航空
600505.SH,600505,SH,7.86,8.22,8.58,7.81,4.580152671755729,69.39564121830932,20170103,西昌电力
600511.SH,600511,SH,28.16,28.34,28.56,28.13,0.6392045454545444,-43.47134948978768,20170103,国药股份
600539.SH,600539,SH,17.34,17.16,17.87,17.15,-1.0380622837370226,-0.139408256770865,20170103,狮头股份
601633.SH,601633,SH,11.34,11.46,11.53,11.26,1.058201058201067,-45.651337367485674,20170103,长城汽车
601800.SH,601800,SH,14.99,14.79,15.08,14.76,-1.3342228152101472,-23.979509736180983,20170103,中国交建
600288.SH,600288,SH,10.54,10.97,11.1,10.49,4.079696394686922,41.518202637154936,20170103,大恒科技
603959.SH,603959,SH,31.98,31.75,32.67,31.28,-0.7191994996873059,4.656612830554465,20170103,百利科技
600061.SH,600061,SH,14.81,15.0,15.22,14.72,1.2829169480080993,3.065448597023851,20170103,国投资本
603568.SH,603568,SH,22.34,22.2,22.77,22.15,-0.6266786034019721,-7.303463120986208,20170103,伟明环保
600707.SH,600707,SH,8.01,8.16,8.19,7.95,1.8726591760299671,-23.529132289538275,20170103,彩虹股份
600075.SH,600075,SH,8.6,8.56,8.72,8.55,-0.46511627906975755,-7.977623180095157,20170103,新疆天业
603232.SH,603232,SH,61.9,61.61,65.78,60.81,-0.4684975767366707,35.59498886084776,20170421,格尔软件
603226.SH,603226,SH,32.89,33.61,34.0,32.73,2.18911523259349,7.842267566812105,20170615,菲林格尔
600088.SH,600088,SH,15.79,16.09,16.22,15.79,1.899936668777712,-8.68459459234297,20170103,中视传媒
603556.SH,603556,SH,40.1,41.55,41.93,39.91,3.6159600997506125,-21.99935015518587,20170103,海兴电力
600063.SH,600063,SH,4.12,4.1,4.16,4.08,-0.4854368932038947,-20.036427853514425,20170103,皖维高新
600711.SH,600711,SH,8.25,8.23,8.44,8.09,-0.24242424242423727,-27.772371923111482,20170111,盛屯矿业
603797.SH,603797,SH,22.93,23.07,23.49,22.11,0.6105538595726148,4.302374914944196,20170413,联泰环保
603768.SH,603768,SH,21.89,22.25,22.37,21.82,1.6445865692096822,27.59843760204822,20170324,常青股份
600507.SH,600507,SH,13.08,13.39,13.91,12.89,2.3700305810397593,40.69604705814902,20170103,方大特钢
